"Time","Alor.Gajah","Alor.Setar","Balik.Pulau","Balok.Baru.Kuantan","Bandaraya.Melaka","Banting","Batu.Muda","Batu.Pahat","Besut","Bintulu","Bukit.Rambai","Cheras","Indera.Mahkota.Kuantan","Jerantut","Kangar","Kapit","Kemaman","Keningau","Kimanis","Klang","Kluang","Kota.Bharu","Kota.Kinabalu","Kota.Tinggi","Kuala.Selangor","Kuala.Terengganu","Kuching","Kulim","Labuan","Langkawi","Larkin","Limbang","Minden","Miri","Muar","Mukah","Nilai","Paka","Pasir.Gudang","Pegoh.Ipoh","Pengerang","Petaling.Jaya","Port.Dickson","Putrajaya","Rompin","Samalaju","Samarahan","Sandakan","Sarikei","Seberang.Jaya","Seberang.Perai","Segamat","Seremban","Seri.Manjung","Shah.Alam","Sibu","Sri.Aman","Sungai.Petani","Taiping","Tanah.Merah","Tangkak","Tanjung.Malim","Tasek.Ipoh","Tawau","Temerloh"
2022-01-01,16,31,28,39,18,67,41,17,47,55,17,35,21,21,38,44,22,29,24,63,15,38,52,20,38,31,25,34,27,46,32,31,41,48,NA,32,44,36,25,31,21,41,43,31,27,55,NA,25,56,52,36,15,22,28,48,28,32,33,35,38,31,34,38,56,20
2022-01-01 01:00:00,16,31,30,39,18,65,42,16,48,56,16,37,21,21,38,45,22,30,24,63,15,38,53,19,36,31,25,33,28,46,32,31,42,52,NA,31,46,36,27,31,21,41,43,31,27,55,NA,24,57,53,38,14,22,28,49,33,33,34,35,37,29,34,43,56,21
2022-01-01 02:00:00,18,31,31,40,16,63,42,15,47,57,16,36,21,21,38,44,20,33,26,63,15,39,54,18,38,31,26,35,29,46,33,31,43,52,NA,30,50,35,28,31,21,42,42,33,28,54,NA,25,57,54,42,14,22,30,52,34,33,35,34,37,28,34,42,56,20
2022-01-01 03:00:00,17,31,31,41,16,60,41,14,47,57,16,35,21,21,38,45,20,35,26,61,15,40,54,18,37,31,25,36,29,46,33,32,44,52,NA,29,51,36,29,30,20,44,42,35,28,54,NA,25,57,54,44,14,22,30,52,35,35,35,31,37,28,33,43,56,20
2022-01-01 04:00:00,17,32,32,41,16,60,41,14,47,58,16,35,22,21,38,44,20,35,25,60,16,40,54,18,37,32,25,35,31,46,33,31,44,53,NA,27,51,36,28,32,20,49,43,36,28,54,NA,26,57,54,45,14,22,29,53,35,34,36,31,37,27,32,43,56,19
2022-01-01 05:00:00,17,32,32,41,17,59,43,13,47,58,16,35,22,20,38,44,20,36,25,59,15,40,54,18,36,33,24,36,32,46,32,31,45,53,NA,27,52,37,28,32,19,52,42,37,27,53,NA,27,57,54,45,14,22,30,54,35,35,36,32,37,28,31,45,56,20
2022-01-01 06:00:00,16,32,33,39,17,57,45,13,46,57,16,36,22,20,39,43,19,36,24,58,15,40,54,18,35,33,23,37,32,46,32,31,45,53,NA,27,52,37,28,32,19,52,40,37,27,53,NA,27,58,55,44,14,21,29,54,35,35,37,32,36,26,31,45,56,20
2022-01-01 07:00:00,17,32,33,37,16,56,45,13,47,57,16,35,23,20,37,41,19,37,24,57,15,41,54,18,34,33,24,37,35,46,30,32,46,53,NA,27,51,36,28,33,19,52,39,37,26,53,NA,28,58,55,44,14,21,29,54,34,35,38,34,37,26,30,46,56,19
2022-01-01 08:00:00,16,32,33,36,15,52,46,13,47,56,15,34,22,21,38,40,19,38,24,55,14,40,54,19,34,33,24,37,35,45,30,32,46,53,NA,27,49,34,30,31,18,52,37,36,24,53,NA,28,58,55,44,14,21,29,53,33,34,38,35,37,27,29,47,56,18
2022-01-01 09:00:00,15,32,33,36,15,46,46,13,47,56,15,33,22,21,39,41,18,38,25,54,16,38,54,19,33,33,24,35,34,45,30,31,45,53,NA,25,47,33,31,30,18,52,38,36,25,53,NA,28,58,54,44,14,19,28,53,33,34,39,35,36,28,29,47,56,18
