Rank,Countries,City,Year,Air_Pollution_Index,Air_Pollution_Level
1,Pakistan,Lahore,2017,133.2,Unhealthy
1,Pakistan,Lahore,2018,114.9,Unhealthy
1,Pakistan,Lahore,2019,89.5,Moderate
1,Pakistan,Lahore,2020,79.2,Moderate
1,Pakistan,Lahore,2021,86.5,Moderate
1,Pakistan,Lahore,2022,97.4,Moderate
2,China,Hotan,2017,91.9,Moderate
2,China,Hotan,2018,116,Unhealthy
2,China,Hotan,2019,110.1,Unhealthy
2,China,Hotan,2020,110.2,Unhealthy
2,China,Hotan,2021,101.5,Unhealthy
2,China,Hotan,2022,94.3,Moderate
4,India,Delhi (NCT),2017,108.2,Unhealthy
4,India,Delhi (NCT),2018,113.5,Unhealthy
4,India,Delhi (NCT),2019,98.6,Moderate
4,India,Delhi (NCT),2020,84.1,Moderate
4,India,Delhi (NCT),2021,96.4,Moderate
4,India,Delhi (NCT),2022,92.6,Moderate
10,India,Patna,2017,118.5,Unhealthy
10,India,Patna,2018,119.7,Unhealthy
10,India,Patna,2019,82.1,Moderate
10,India,Patna,2020,68.4,Moderate
10,India,Patna,2021,78.2,Moderate
10,India,Patna,2022,88.9,Moderate
11,India,Ghaziabad,2017,144.6,Unhealthy
11,India,Ghaziabad,2018,135.2,Unhealthy
11,India,Ghaziabad,2019,110.2,Unhealthy
11,India,Ghaziabad,2020,106.6,Unhealthy
11,India,Ghaziabad,2021,102,Unhealthy
11,India,Ghaziabad,2022,88.6,Moderate
19,India,Faridabad,2017,123,Unhealthy
19,India,Faridabad,2018,129.1,Unhealthy
19,India,Faridabad,2019,85,Moderate
19,India,Faridabad,2020,83.3,Moderate
19,India,Faridabad,2021,88.9,Moderate
19,India,Faridabad,2022,79.7,Moderate
20,India,Muzaffarpur,2017,107.4,Unhealthy
20,India,Muzaffarpur,2018,110.3,Unhealthy
20,India,Muzaffarpur,2019,81.2,Moderate
20,India,Muzaffarpur,2020,74.3,Moderate
20,India,Muzaffarpur,2021,82.9,Moderate
20,India,Muzaffarpur,2022,79.2,Moderate
21,India,Noida,2017,134,Unhealthy
21,India,Noida,2018,123.6,Unhealthy
21,India,Noida,2019,97.7,Moderate
21,India,Noida,2020,94.3,Moderate
21,India,Noida,2021,91.4,Moderate
21,India,Noida,2022,78.7,Moderate
22,India,Jind,2017,126.5,Unhealthy
22,India,Jind,2018,91.6,Moderate
22,India,Jind,2019,85.4,Moderate
22,India,Jind,2020,81.6,Moderate
22,India,Jind,2021,84.1,Moderate
22,India,Jind,2022,77.9,Moderate
25,India,Rohtak,2017,96.7,Moderate
25,India,Rohtak,2018,81.6,Moderate
25,India,Rohtak,2019,59.7,Moderate
25,India,Rohtak,2020,74.4,Moderate
25,India,Rohtak,2021,86.9,Moderate
25,India,Rohtak,2022,74.7,Moderate
26,India,Gaya,2017,102.6,Unhealthy
26,India,Gaya,2018,96.6,Moderate
26,India,Gaya,2019,59.4,Moderate
26,India,Gaya,2020,46.3,Good
26,India,Gaya,2021,46.6,Good
26,India,Gaya,2022,74.3,Moderate
30,China,Kashgar,2017,97.5,Moderate
30,China,Kashgar,2018,95.7,Moderate
30,China,Kashgar,2019,87.1,Moderate
30,China,Kashgar,2020,81,Moderate
30,China,Kashgar,2021,83.2,Moderate
30,China,Kashgar,2022,73.4,Moderate
38,India,Gurugram,2017,145.6,Unhealthy
38,India,Gurugram,2018,135.8,Unhealthy
38,India,Gurugram,2019,93.1,Moderate
38,India,Gurugram,2020,75.3,Moderate
38,India,Gurugram,2021,83.4,Moderate
38,India,Gurugram,2022,70,Moderate
47,Bahrain,Manama,2017,62.5,Moderate
47,Bahrain,Manama,2018,59.8,Moderate
47,Bahrain,Manama,2019,46.8,Good
47,Bahrain,Manama,2020,39.7,Good
47,Bahrain,Manama,2021,49.8,Good
47,Bahrain,Manama,2022,66.6,Moderate
48,India,Kanpur,2017,119.2,Unhealthy
48,India,Kanpur,2018,88.2,Moderate
48,India,Kanpur,2019,48.5,Good
48,India,Kanpur,2020,89.1,Moderate
48,India,Kanpur,2021,83.2,Moderate
48,India,Kanpur,2022,66.2,Moderate
49,Bangladesh,Dhaka,2017,79.7,Moderate
49,Bangladesh,Dhaka,2018,97.1,Moderate
49,Bangladesh,Dhaka,2019,83.3,Moderate
49,Bangladesh,Dhaka,2020,77.1,Moderate
49,Bangladesh,Dhaka,2021,78.1,Moderate
49,Bangladesh,Dhaka,2022,65.8,Moderate
54,India,Lucknow,2017,119.2,Unhealthy
54,India,Lucknow,2018,115.7,Unhealthy
54,India,Lucknow,2019,90.3,Moderate
54,India,Lucknow,2020,86.2,Moderate
54,India,Lucknow,2021,86,Moderate
54,India,Lucknow,2022,64.7,Moderate
56,India,Jodhpur,2017,81.9,Moderate
56,India,Jodhpur,2018,113.4,Unhealthy
56,India,Jodhpur,2019,77.2,Moderate
56,India,Jodhpur,2020,67.1,Moderate
56,India,Jodhpur,2021,67.8,Moderate
56,India,Jodhpur,2022,63,Moderate
63,India,Panchkula,2017,52.8,Moderate
63,India,Panchkula,2018,56.2,Moderate
63,India,Panchkula,2019,45.9,Good
63,India,Panchkula,2020,42.8,Good
63,India,Panchkula,2021,48.3,Good
63,India,Panchkula,2022,59.3,Moderate
66,Kuwait,Kuwait City,2017,46.8,Good
66,Kuwait,Kuwait City,2018,56,Moderate
66,Kuwait,Kuwait City,2019,38.3,Good
66,Kuwait,Kuwait City,2020,34,Good
66,Kuwait,Kuwait City,2021,29.7,Good
66,Kuwait,Kuwait City,2022,57.5,Moderate
67,China,Shihezi,2017,60.6,Moderate
67,China,Shihezi,2018,61.3,Moderate
67,China,Shihezi,2019,63.3,Moderate
67,China,Shihezi,2020,57.5,Moderate
67,China,Shihezi,2021,55.7,Moderate
67,China,Shihezi,2022,57.3,Moderate
73,China,Aksu,2017,69.8,Moderate
73,China,Aksu,2018,74.1,Moderate
73,China,Aksu,2019,54,Moderate
73,China,Aksu,2020,58.4,Moderate
73,China,Aksu,2021,51.2,Moderate
73,China,Aksu,2022,55.5,Moderate
75,China,Puyang,2017,68.8,Moderate
75,China,Puyang,2018,63.5,Moderate
75,China,Puyang,2019,63.4,Moderate
75,China,Puyang,2020,59.3,Moderate
75,China,Puyang,2021,52.8,Moderate
75,China,Puyang,2022,54.3,Moderate
76,India,Jaipur,2017,88.3,Moderate
76,India,Jaipur,2018,67.6,Moderate
76,India,Jaipur,2019,50.5,NA
76,India,Jaipur,2020,43.8,Good
76,India,Jaipur,2021,56.6,Moderate
76,India,Jaipur,2022,54.2,Moderate
80,China,Wujiaqu,2017,74.1,Moderate
80,China,Wujiaqu,2018,67.8,Moderate
80,China,Wujiaqu,2019,53.9,Moderate
80,China,Wujiaqu,2020,40.6,Good
80,China,Wujiaqu,2021,41.7,Good
80,China,Wujiaqu,2022,53.3,Moderate
84,China,Kizilsu,2017,43.4,Good
84,China,Kizilsu,2018,60,Moderate
84,China,Kizilsu,2019,48.6,Good
84,China,Kizilsu,2020,52,Moderate
84,China,Kizilsu,2021,43.9,Good
84,China,Kizilsu,2022,52.8,Moderate
85,China,Hebi,2017,64.4,Moderate
85,China,Hebi,2018,55.8,Moderate
85,China,Hebi,2019,62.1,Moderate
85,China,Hebi,2020,58.9,Moderate
85,China,Hebi,2021,51.4,Moderate
85,China,Hebi,2022,52.2,Moderate
87,Russia,Krasnoyarsk,2017,16.4,Good
87,Russia,Krasnoyarsk,2018,23.1,Good
87,Russia,Krasnoyarsk,2019,17.7,Good
87,Russia,Krasnoyarsk,2020,14.7,Good
87,Russia,Krasnoyarsk,2021,49.8,Good
87,Russia,Krasnoyarsk,2022,51.7,Moderate
88,China,Changji,2017,57.6,Moderate
88,China,Changji,2018,55,Moderate
88,China,Changji,2019,48.2,Good
88,China,Changji,2020,53.5,Moderate
88,China,Changji,2021,49.8,Good
88,China,Changji,2022,51.5,Moderate
91,China,Luohe,2017,63.7,Moderate
91,China,Luohe,2018,62.6,Moderate
91,China,Luohe,2019,60,Moderate
91,China,Luohe,2020,55.4,Moderate
91,China,Luohe,2021,49.7,Good
91,China,Luohe,2022,51.2,Moderate
92,India,Pune,2017,37,Good
92,India,Pune,2018,46.3,Good
92,India,Pune,2019,35.7,Good
92,India,Pune,2020,39.7,Good
92,India,Pune,2021,42.2,Good
92,India,Pune,2022,51.1,Moderate
93,China,Anyang,2017,81.1,Moderate
93,China,Anyang,2018,72.9,Moderate
93,China,Anyang,2019,70.3,Moderate
93,China,Anyang,2020,61.5,Moderate
93,China,Anyang,2021,50.8,NA
93,China,Anyang,2022,51,Moderate
94,China,Weinan,2017,68.8,Moderate
